Ano de referência,Código da Unidade da Federação,Nome da Unidade da Federação,Código do Município,Nome do Município,Região Metropolitana,Código da Mesorregião,Nome da Mesorregião,Código da Microrregião,Nome da Microrregião,"Valor adicionado bruto da Agropecuária, a preços correntes
(R$ 1.000)","Valor adicionado bruto da Indústria, a preços correntes
(R$ 1.000)","Valor adicionado bruto dos Serviços, a preços correntes - exclusive Administração, saúde e educação públicas e seguridade social
(R$ 1.000)","Valor adicionado bruto da Administração, saúde e educação públicas e seguridade social, a preços correntes
(R$ 1.000)","Valor adicionado bruto Total, a preços correntes
(R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos, a preços correntes
(R$ 1.000)","Produto Interno Bruto, a preços correntes
(R$ 1.000)","População
(Nº de habitantes)","Produto Interno Bruto per capita
(R$ 1,00)"
2010,11,Rondônia,1100015,Alta Floresta D'Oeste,,1102,Leste Rondoniense,11006,Cacoal,69260 ,15890 ,62593 ,93245 ,240988 ,20961 ,261950 ,24422 ,"10.725,97 "
2010,11,Rondônia,1100023,Ariquemes,,1102,Leste Rondoniense,11003,Ariquemes,73712 ,283673 ,495356 ,343868 ,1196608 ,165039 ,1361647 ,90354 ,"15.070,14 "
2010,11,Rondônia,1100031,Cabixi,,1102,Leste Rondoniense,11008,Colorado do Oeste,24301 ,3183 ,12495 ,25170 ,65149 ,4049 ,69197 ,6309 ,"10.968,00 "
2010,11,Rondônia,1100049,Cacoal,,1102,Leste Rondoniense,11006,Cacoal,95259 ,180259 ,465156 ,298454 ,1039128 ,145289 ,1184417 ,78601 ,"15.068,72 "
2010,11,Rondônia,1100056,Cerejeiras,,1102,Leste Rondoniense,11008,Colorado do Oeste,28976 ,19514 ,80718 ,63018 ,192227 ,29574 ,221801 ,17030 ,"13.024,11 "
2010,11,Rondônia,1100064,Colorado do Oeste,,1102,Leste Rondoniense,11008,Colorado do Oeste,35818 ,18071 ,54420 ,67462 ,175771 ,16584 ,192355 ,18602 ,"10.340,54 "
2010,11,Rondônia,1100072,Corumbiara,,1102,Leste Rondoniense,11008,Colorado do Oeste,51206 ,7872 ,15685 ,34013 ,108775 ,6015 ,114790 ,8802 ,"13.041,36 "
2010,11,Rondônia,1100080,Costa Marques,,1101,Madeira-Guaporé,11002,Guajará-Mirim,19816 ,7791 ,23085 ,51078 ,101771 ,6101 ,107872 ,13700 ,"7.873,85 "
2010,11,Rondônia,1100098,Espigão D'Oeste,,1102,Leste Rondoniense,11006,Cacoal,56433 ,33680 ,88659 ,102087 ,280859 ,30571 ,311430 ,28741 ,"10.835,74 "
2010,11,Rondônia,1100106,Guajará-Mirim,,1101,Madeira-Guaporé,11002,Guajará-Mirim,18630 ,22413 ,273420 ,156792 ,471256 ,126580 ,597836 ,41646 ,"14.355,17 "
2010,11,Rondônia,1100114,Jaru,,1102,Leste Rondoniense,11004,Ji-Paraná,103001 ,150592 ,262666 ,191572 ,707831 ,88449 ,796280 ,52043 ,"15.300,42 "
2010,11,Rondônia,1100122,Ji-Paraná,,1102,Leste Rondoniense,11004,Ji-Paraná,72553 ,315268 ,784585 ,410598 ,1583004 ,270192 ,1853196 ,116587 ,"15.895,39 "
2010,11,Rondônia,1100130,Machadinho D'Oeste,,1102,Leste Rondoniense,11003,Ariquemes,58164 ,24338 ,58246 ,111859 ,252607 ,19076 ,271683 ,31107 ,"8.733,83 "
2010,11,Rondônia,1100148,Nova Brasilândia D'Oeste,,1102,Leste Rondoniense,11005,Alvorada D'Oeste,37229 ,10766 ,39367 ,73122 ,160484 ,13006 ,173490 ,19845 ,"8.742,24 "
2010,11,Rondônia,1100155,Ouro Preto do Oeste,,1102,Leste Rondoniense,11004,Ji-Paraná,77935 ,45584 ,162334 ,143687 ,429540 ,47997 ,477537 ,37941 ,"12.586,30 "
2010,11,Rondônia,1100189,Pimenta Bueno,,1102,Leste Rondoniense,11007,Vilhena,36971 ,91261 ,201183 ,121975 ,451390 ,88744 ,540134 ,33754 ,"16.002,07 "
2010,11,Rondônia,1100205,Porto Velho,,1101,Madeira-Guaporé,11001,Porto Velho,183897 ,2611194 ,3337408 ,1617722 ,7750221 ,1306050 ,9056271 ,426558 ,"21.231,04 "
2010,11,Rondônia,1100254,Presidente Médici,,1102,Leste Rondoniense,11004,Ji-Paraná,50118 ,19770 ,62418 ,82576 ,214882 ,20521 ,235403 ,22319 ,"10.547,20 "
2010,11,Rondônia,1100262,Rio Crespo,,1102,Leste Rondoniense,11003,Ariquemes,18632 ,3536 ,4114 ,14684 ,40965 ,2077 ,43043 ,3316 ,"12.980,26 "
2010,11,Rondônia,1100288,Rolim de Moura,,1102,Leste Rondoniense,11006,Cacoal,45477 ,99778 ,225159 ,188566 ,558979 ,68612 ,627591 ,50672 ,"12.385,36 "
2010,11,Rondônia,1100296,Santa Luzia D'Oeste,,1102,Leste Rondoniense,11006,Cacoal,27568 ,15985 ,16138 ,33346 ,93038 ,5612 ,98649 ,8886 ,"11.101,67 "
2010,11,Rondônia,1100304,Vilhena,,1102,Leste Rondoniense,11007,Vilhena,45616 ,264738 ,616569 ,297886 ,1224809 ,220360 ,1445169 ,76187 ,"18.968,71 "
